日期,時間,活動名稱,地點,主講人,主持人,類型,備註,詳細內容
2026-02-05,11:45 - 12:45,被噤聲的歷史：談《日特科瓦村的女巫師》中的女性、國家與記憶,主題廣場,卡特日娜．圖齊科娃(Kateřina Tučková)、童偉格、謝哲青,,講座,本場講座邀請本書作者卡特日娜．圖齊科娃、作家童偉格對談，並由...,本場講座邀請本書作者卡特日娜．圖齊科娃、作家童偉格對談，並由旅行家謝哲青主持。圖齊科娃將與讀者分享這部結合女性書寫、歷史記憶與民間信仰的重要作品。小說以一位出身於女巫師世家的女子朵拉為核心，描繪她在理性與迷信、學術研究與家族秘密之間的探索旅程。塵封的傳說逐漸被揭開，故事橫跨數百年歷史，從獵巫時代、戰爭時期到極權統治下的迫害，細膩呈現女性如何在恐懼與壓制中守護知識、信念與身體的自主權。本場講座討論歷史如何被重新書寫，並比較台灣與捷克的經驗。
2026-02-05,13:00 - 14:00,「雜亂建築」之意義──建築師查猜萬．蘇汪薩瓦的泰國城市觀察,主題廣場,查猜萬．蘇汪薩瓦,,講座,日常隨處可及的曼谷街頭「雜亂建築」。來自於城市中平凡百姓的創...,日常隨處可及的曼谷街頭「雜亂建築」。來自於城市中平凡百姓的創作。讓我們一起跟者作者——身兼建築師、路上觀察家，同時出版過《曼谷建築》的查猜萬．蘇汪薩瓦腳步，探索這些散布在城市中的雜亂建築，發掘充滿泰式風情的設計和改造手法，思考城市裡小人物的生活方式。
2026-02-05,14:15 - 15:15,《鯨》作者千明官與陳栢青的小說家對談,主題廣場,千明官,,講座,國際布克獎入圍作《鯨》，作者千明官訪台座談，與《尖叫連線》、...,國際布克獎入圍作《鯨》，作者千明官訪台座談，與《尖叫連線》、《髒東西》作者陳栢青對談。
2026-02-05,15:30 - 16:30,當歷史入夢：為什麼我們仍為那場未經歷的戰爭寫作？－－《佛曆西沉與黑玫瑰貓的記憶的記憶》新書分享會,主題廣場,作者/威拉蓬．尼迪巴帕 來賓/吳明益,,講座,因應明年台北國際書展「主題國：泰國」，本活動特別邀請泰國當代...,因應明年台北國際書展「主題國：泰國」，本活動特別邀請泰國當代重要小說家 威拉蓬．尼迪巴帕（Veeraporn Nitiprapha） 來台交流，舉辦新書發表與對談活動。威拉蓬以其詩性與政治性兼具的書寫風格，被譽為泰國最具代表性的女性小說家之一，曾以《迷宮中的盲眼蚯蚓》等兩部小說於五年內兩度榮獲東南亞文學獎（S.E.A. Write Award），是該獎史上首位達此成就的泰國女作家。 威拉蓬以魔幻寫實筆法描寫女性、家族與歷史的糾纏，作品風格獨特、語言詩意，曾此次書展將首度發表她的最新長篇小說——被譽為「泰國版《百年孤寂》」的跨世代家族史詩。小說以一名華人移工在泰國最動盪時期落地生根為起點，描寫華裔家族三代人橫跨愛情、背叛、野心與利益的命運糾葛。透過魔幻與現實交錯的敘事，小說虛構出那些「被歷史遺忘卻仍塑造我們」的故事，呈現泰國社會裡移民與歷史、信仰與權力的複雜層理。
2026-02-05,16:45 - 17:45,誰是香港作家？—語言、身分與跨境文學的再定位,主題廣場,廖偉棠 × 陳慧,,講座,當代華文文學中的「香港作家」，已不再僅由居住地或國籍界定，而...,當代華文文學中的「香港作家」，已不再僅由居住地或國籍界定，而是在語言使用、生活位置與閱讀場域的移動之中，被不斷重新理解與命名。離開香港、在他處生活與書寫，並不意味著與城市的斷裂，反而讓香港以另一種方式進入文本之中——成為記憶、語感與日常細節的一部分。 陳慧與廖偉棠皆長期在遷移狀態中創作，並以小說、散文與詩處理身分、生活與城市經驗的變化，讓「香港之外的生活」成為文學的現場。兩位講者從創作經驗出發，討論在流動成為常態的當下，「香港作家」這個稱謂如何被重新定位。
2026-02-05,10:30 - 11:30,圖文共鳴創造閱讀的好滋味——走進瑪嘉莉‧呂什的圖像世界,兒童沙龍,瑪嘉莉・呂什,,沙龍講座,本場講座將邀請法國插畫作家瑪嘉莉・呂什分享她的創作日常與靈感...,本場講座將邀請法國插畫作家瑪嘉莉・呂什分享她的創作日常與靈感來源，帶領讀者理解圖像如何成為故事的語言。透過《海倫太太的客人》、《閉上你的雞嘴》、《誰把我的蠟燭吹熄了》等作品，探討她如何在荒謬與真實、幽默與情緒之間取得恰到好處的平衡，形塑出具有豐富層次的圖像世界。
2026-02-05,10:30 - 11:30,《百工計畫》：這個世界上，再也沒有任何工作能嚇倒我──新書分享會,藍沙龍,藍白拖（本書作者、旅行與打工系作家）,,沙龍講座,6月宣布展開「百工計畫」，以到100個職場打工為目標，把每份...,6月宣布展開「百工計畫」，以到100個職場打工為目標，把每份工作都當成一次拓寬世界的探險，彙整成這本《百工計畫》 本次新書分享會，藍白拖將與大家分享他透過《百工計畫》的插曲、感受與體悟，你會看見台灣基層職場的真實輪廓，一群努力生活的人如何默默撐起這個城市的日常，有幽默、衝突、崩潰，還有意外的溫柔、無聲的體諒與突如其來的善意。
2026-02-05,10:30 - 11:30,文化部青年創作獎勵暨國際駐村分享講座,黃沙龍2F,青年創作者及國際駐村創作家,,沙龍講座,-,-
2026-02-05,10:30 - 11:30,《跑出你人生的彩蛋：《跑步不要聽》用不平凡的故事，陪你前進每一公里》新書講座,紅沙龍,田鴻魁、王冠翔、白品鍵,,沙龍講座,★《跑步不要聽》節目的熱血主持群來囉！★ Apple Pod...,★《跑步不要聽》節目的熱血主持群來囉！★ Apple Podcast運動類熱門排行榜第一名 本書由臺灣運動類熱門排行第一名的Podcast《跑步不要聽》製作團隊與主持人，從超過250集的節目中，精選26篇跑者故事，故事主角包含有跑步菁英選手、極限耐力賽選手、也有各行各業市民跑者、身障跑者；旅程橫跨台灣與世界各地，成就這本充滿歡笑、有血淚的動人故事。 講座將由節目主持人 田鴻魁（魁哥）、王冠翔（象總） 本書撰稿人 白品鍵教授 分享多篇勵志、有趣、跟不可思議的跑步故事，以及許多不平凡的跑步人生。 作者簡介 田鴻魁─《跑步不要聽》節目主持人、體育主播 王冠翔─《跑步不要聽》節目主持人、台灣電通行銷傳播集團貝立德（股）總經理 王啟恩─ 《跑步不要聽》節目製作人 白品鍵─ 世新大學中文系副教授
2026-02-05,10:30 - 11:20,每日一詞：跟著《Ghost Me Free WiFi》作者 阿吉一起說泰語,泰國主題國館,,,講座,A behind-the-scenes session ab...,A behind-the-scenes session about the novel Ghost Me Free WiFi， featuring a funny and quirky lesion about Thai slang used by queer communities. Attendees will have a chance to win an exclusive， super-stylish tote bag.
